Date,Price,Open,High,Low,Vol.,Change %
01-02-2013,6.37,6.5,6.55,6.3,0.07K,-1.24%
01-03-2013,6.2,6.24,6.31,6.16,4.68K,-2.67%
01-04-2013,6.14,6.18,6.18,6.11,1.37K,-0.97%
01-07-2013,6.46,6.34,6.47,6.31,2.94K,5.21%
01-08-2013,6.27,6.46,6.46,6.18,2.07K,-2.94%
01-09-2013,6.02,6.21,6.22,6.02,3.61K,-3.99%
01-10-2013,5.86,5.96,6.06,5.87,2.20K,-2.66%
01-11-2013,5.72,5.81,5.81,5.68,5.42K,-2.39%
1-14-13,5.71,5.69,5.69,5.6,3.39K,-0.17%
1-15-13,5.88,5.68,5.98,5.68,2.23K,2.98%
1-16-13,5.47,5.92,5.92,5.49,2.94K,-6.97%
1-17-13,5.44,5.46,5.49,5.4,2.06K,-0.55%
1-18-13,4.97,5.37,5.37,4.96,0.77K,-8.64%
1-20-13,5.09,5.09,5.09,5.09,,2.52%
1-21-13,4.81,4.88,5.01,4.72,2.31K,-5.59%
1-22-13,5.3,4.77,5.28,4.77,0.98K,10.19%
1-23-13,4.52,5.4,5.4,4.47,0.84K,-14.72%
1-24-13,4.21,4.65,4.65,3.23,2.62K,-6.86%
1-25-13,4,4.06,4.09,3.77,3.20K,-4.99%
1-28-13,4.07,4.03,4.11,3.9,0.64K,1.75%
1-29-13,3.88,3.87,3.94,3.87,0.07K,-4.67%
1-30-13,3.69,3.79,3.79,3.77,0.38K,-4.90%
1-31-13,3.31,3.43,3.43,3.43,0.64K,-10.30%
02-01-2013,4.21,3.28,4.17,3.22,0.15K,27.19%
02-04-2013,4.19,3.97,4.45,3.97,0.13K,-0.48%
02-05-2013,4.29,4.03,4.36,4.03,0.19K,2.39%
02-06-2013,4.06,4.34,4.62,4.07,0.17K,-5.36%
02-07-2013,4.09,4.05,4.09,3.99,0.40K,0.74%
02-08-2013,4.43,4.25,4.35,4.19,0.34K,8.31%
02-11-2013,4.36,4.3,4.4,4.2,0.32K,-1.58%
02-12-2013,4.46,4.45,4.58,4.45,0.43K,2.29%
2-13-13,5.1,4.51,5.1,4.51,0.43K,14.35%
2-14-13,5.12,5.01,5.2,4.95,0.32K,0.39%
2-15-13,5.06,5.03,5.11,5.02,0.05K,-1.17%
2-18-13,4.99,4.98,5.34,4.98,0.75K,-1.38%
2-19-13,4.56,4.7,4.9,4.16,6.70K,-8.62%
2-20-13,4.86,4.69,4.87,4.6,1.27K,6.58%
2-21-13,5.17,4.98,5.18,4.97,0.52K,6.38%
2-22-13,5.07,5,5.09,4.99,4.35K,-1.93%
2-25-13,4.47,4.95,4.95,4.42,0.89K,-11.83%
2-26-13,4.2,4.18,4.4,4.05,1.15K,-6.04%
2-27-13,4.37,4.22,4.36,4.15,1.18K,4.05%
2-28-13,4.8,4.32,4.87,4.32,1.22K,9.84%
03-01-2013,4.57,4.76,4.78,4.55,4.76K,-4.79%
03-04-2013,4.53,4.65,4.65,4.55,0.38K,-0.88%
03-05-2013,4.14,4.54,4.54,4.21,0.93K,-8.61%
03-06-2013,4.19,4.21,4.36,4.18,4.20K,1.21%
03-07-2013,4.24,4.15,4.24,4.1,4.84K,1.19%
03-08-2013,4.18,4.09,4.18,4.07,0.89K,-1.42%
03-11-2013,3.88,4.11,4.11,3.88,3.49K,-7.18%
03-12-2013,3.66,3.85,3.86,3.68,1.95K,-5.67%
3-13-13,3.45,3.74,3.74,3.39,6.43K,-5.74%
3-14-13,3.63,3.39,4.1,3.38,3.49K,5.22%
3-15-13,3.71,3.55,3.75,3.52,5.61K,2.20%
3-18-13,3.48,3.6,3.6,3.45,14.88K,-6.20%
3-19-13,3.45,3.38,3.45,3.38,0.35K,-0.86%
3-20-13,3.9,3.9,3.9,3.9,1.92K,13.04%
