Date,Open,High,Low,Close
12/01/2023,"701.98","701.98","701.98","701.98"
11/30/2023,"698.16","698.16","698.16","698.16"
11/29/2023,"693.53","693.53","693.53","693.53"
11/28/2023,"699.07","699.07","699.07","699.07"
11/27/2023,"698.98","698.98","698.98","698.98"
11/24/2023,"702.10","702.10","702.10","702.10"
11/22/2023,"699.01","699.01","699.01","699.01"
11/20/2023,"700.88","700.88","700.88","700.88"
11/17/2023,"700.04","700.04","700.04","700.04"
11/16/2023,"686.03","686.03","686.03","686.03"
11/15/2023,"700.78","700.78","700.78","700.78"
11/13/2023,"697.76","697.76","697.76","697.76"
11/10/2023,"692.96","692.96","692.96","692.96"
11/08/2023,"688.09","688.09","688.09","688.09"
11/07/2023,"696.80","696.80","696.80","696.80"
11/06/2023,"713.18","713.18","713.18","713.18"
11/03/2023,"723.16","723.16","723.16","723.16"
11/02/2023,"730.07","730.07","730.07","730.07"
11/01/2023,"708.04","708.04","708.04","708.04"
10/31/2023,"709.70","709.70","709.70","709.70"
10/30/2023,"707.39","707.39","707.39","707.39"
10/27/2023,"705.83","705.83","705.83","705.83"
10/26/2023,"721.51","721.51","721.51","721.51"
10/25/2023,"726.49","726.49","726.49","726.49"
10/24/2023,"728.19","728.19","728.19","728.19"
10/23/2023,"737.84","737.84","737.84","737.84"
10/20/2023,"749.55","749.55","749.55","749.55"
10/19/2023,"762.63","762.63","762.63","762.63"
10/18/2023,"763.77","763.77","763.77","763.77"
10/17/2023,"757.44","757.44","757.44","757.44"
10/13/2023,"745.15","745.15","745.15","745.15"
10/12/2023,"729.29","729.29","729.29","729.29"
10/11/2023,"728.65","728.65","728.65","728.65"
10/09/2023,"736.84","736.84","736.84","736.84"
10/06/2023,"711.94","711.94","711.94","711.94"
10/05/2023,"707.86","707.86","707.86","707.86"
10/03/2023,"735.62","735.62","735.62","735.62"
10/02/2023,"736.05","736.05","736.05","736.05"
09/28/2023,"766.18","766.18","766.18","766.18"
09/26/2023,"746.86","746.86","746.86","746.86"
09/25/2023,"750.93","750.93","750.93","750.93"
09/22/2023,"740.91","740.91","740.91","740.91"
09/21/2023,"739.92","739.92","739.92","739.92"
09/20/2023,"750.29","750.29","750.29","750.29"
09/19/2023,"757.39","757.39","757.39","757.39"
09/15/2023,"759.45","759.45","759.45","759.45"
09/14/2023,"769.68","769.68","769.68","769.68"
09/13/2023,"760.04","760.04","760.04","760.04"
09/12/2023,"766.42","766.42","766.42","766.42"
09/11/2023,"749.16","749.16","749.16","749.16"
09/08/2023,"759.34","759.34","759.34","759.34"
09/07/2023,"751.84","751.84","751.84","751.84"
09/06/2023,"753.70","753.70","753.70","753.70"
09/04/2023,"750.85","750.85","750.85","750.85"
09/01/2023,"736.05","736.05","736.05","736.05"
08/31/2023,"736.05","736.05","736.05","736.05"
08/29/2023,"731.25","731.25","731.25","731.25"
08/28/2023,"728.50","728.50","728.50","728.50"
08/25/2023,"723.25","723.25","723.25","723.25"
08/24/2023,"715.82","715.82","715.82","715.82"
08/23/2023,"721.73","721.73","721.73","721.73"
08/22/2023,"724.01","724.01","724.01","724.01"
08/21/2023,"729.50","729.50","729.50","729.50"
08/18/2023,"733.45","733.45","733.45","733.45"
08/17/2023,"727.14","727.14","727.14","727.14"
08/16/2023,"719.34","719.34","719.34","719.34"
08/15/2023,"725.85","725.85","725.85","725.85"
08/14/2023,"743.78","743.78","743.78","743.78"
08/11/2023,"746.35","746.35","746.35","746.35"
08/10/2023,"735.48","735.48","735.48","735.48"
08/08/2023,"726.64","726.64","726.64","726.64"
08/07/2023,"723.22","723.22","723.22","723.22"
08/04/2023,"721.97","721.97","721.97","721.97"
08/02/2023,"713.72","713.72","713.72","713.72"
08/01/2023,"723.74","723.74","723.74","723.74"
07/28/2023,"713.49","713.49","713.49","713.49"
07/27/2023,"711.36","711.36","711.36","711.36"
07/25/2023,"715.95","715.95","715.95","715.95"
07/21/2023,"700.96","700.96","700.96","700.96"
07/20/2023,"695.71","695.71","695.71","695.71"
